date type session sonde_id sonde_position time_launch time_depart time_end duration altitude pressure sonde_depart sonde_OK errors
2018-11-23 auto 11:00 808210624 8 11:00:00 11:01:05 12:15:06 4441.0 20037 544 1 1 NA
2018-11-23 auto 23:00 808210674 9 23:00:00 23:00:54 00:32:05 5471.0 28876 132 1 1 NA
2018-11-24 auto 11:00 808210672 1 11:00:00 11:00:44 12:30:58 5414.0 28052 151 1 1 NA
2018-11-24 auto 23:00 808210663 2 23:00:00 23:00:58 00:38:14 5836.0 28878 133 1 1 NA
2018-11-25 auto 11:00 808210668 3 11:00:00 11:00:45 12:39:01 5896.0 29454 122 1 1 NA
2018-11-25 auto 23:00 808210604 10 23:00:00 23:00:52 00:40:10 5958.0 26933 181 1 1 NA
2018-11-26 auto 11:00 808210590 11 11:00:00 11:00:49 12:22:57 4928.0 25287 233 1 1 NA
2018-11-26 auto 23:00 808210660 12 23:00:00 23:00:57 01:07:37 7600.0 30025 109 1 1 NA
2018-11-27 auto 11:00 808210730 4 11:00:00 11:00:42 12:39:02 5900.0 29148 126 1 1 NA
2018-11-27 auto 23:00 808210680 5 23:00:00 23:00:44 00:29:58 5354.0 26569 190 1 1 NA
2018-11-28 auto 11:00 804213115 1 11:00:00 11:00:41 12:35:59 5718.0 28813 134 1 1 NA
2018-11-28 auto 23:00 804213022 2 23:00:00 23:00:50 00:54:19 6809.0 29929 111 1 1 NA
2018-11-29 auto 11:00 808210691 3 11:00:00 11:00:44 12:19:49 4745.0 25091 241 1 1 NA
2018-11-29 auto 23:00 808210694 4 23:00:00 23:00:48 00:29:57 5349.0 25973 210 1 1 NA
2018-11-30 auto 11:00 808210565 6 11:00:00 11:00:45 12:44:10 6205.0 30014 111 1 1 NA
2018-11-30 auto 23:00 808210697 7 23:00:00 23:00:44 00:34:01 5597.0 28480 142 1 1 NA
2018-12-01 auto 11:00 808210692 8 11:00:00 11:00:58 12:29:10 5292.0 25961 213 1 1 NA
2018-12-01 auto 23:00 808210720 9 23:00:00 23:00:48 00:32:59 5531.0 27866 158 1 1 NA
2018-12-02 auto 11:00 808210695 10 11:00:00 11:00:47 12:28:55 5288.0 17434 834 1 1 NA
2018-12-02 auto 23:00 808210693 11 23:00:00 23:00:47 00:41:05 6018.0 28165 149 1 1 NA
2018-12-03 auto 11:00 808210681 12 11:00:00 11:00:42 12:41:04 6022.0 27451 165 1 1 NA
2018-12-03 auto 23:00 808210652 1 23:00:00 23:00:59 00:14:56 4437.0 19977 546 1 1 NA
2018-12-04 auto 11:00 808210699 2 11:00:01 11:00:44 12:30:58 5414.0 28078 149 1 1 NA
2018-12-04 auto 23:00 808210724 3 23:00:00 23:00:45 00:33:00 5535.0 27209 168 1 1 NA
2018-12-05 auto 11:00 808210762 4 11:00:00 11:00:39 12:53:12 6753.0 30201 106 1 1 NA
2018-12-05 auto 23:00 808210717 5 23:00:00 23:00:47 00:37:03 5776.0 26564 186 1 1 NA
2018-12-06 auto 11:00 808210743 6 11:00:00 11:01:07 12:35:24 5657.0 29343 120 1 1 NA
2018-12-06 auto 23:00 808210728 1 23:00:00 23:00:47 23:43:17 2550.0 12220 1981 1 1 NA
2018-12-07 auto 11:00 808210723 2 11:00:00 11:00:41 12:44:06 6205.0 29359 118 1 1 NA
2018-12-07 auto 23:00 808210721 7 23:00:00 23:00:43 00:43:08 6145.0 28060 145 1 1 NA
2018-12-08 auto 11:00 808210367 8 11:00:00 11:00:45 12:45:11 6266.0 28588 133 1 1 NA
2018-12-08 auto 23:00 808210518 9 23:00:00 23:00:48 00:30:58 5410.0 27846 150 1 1 NA
2018-12-09 auto 11:00 808210373 10 11:00:00 11:00:47 12:31:58 5471.0 24776 248 1 1 NA
2018-12-09 auto 23:00 808210369 11 23:00:00 23:00:50 00:36:05 5715.0 27191 168 1 1 NA
2018-12-10 auto 11:00 808210364 12 11:00:00 11:00:58 12:40:20 5962.0 27769 155 1 1 NA
2018-12-10 auto 23:00 808210363 1 23:00:00 23:01:10 00:36:24 5714.0 28300 143 1 1 NA
2018-12-11 auto 11:00 808210515 2 11:00:00 11:00:46 12:22:53 4927.0 26149 201 1 1 NA
2018-12-11 auto 23:00 808210522 3 23:00:00 23:00:44 00:26:55 5171.0 27080 173 1 1 NA
2018-12-12 auto 11:00 808210541 4 11:00:00 11:00:46 12:44:12 6206.0 28470 140 1 1 NA
2018-12-12 auto 23:00 808210371 5 23:00:00 23:00:48 00:44:09 6201.0 27575 158 1 1 NA
2018-12-13 auto 11:00 808210359 6 11:00:00 11:00:43 12:16:45 4562.0 23353 314 1 1 NA
2018-12-13 auto 23:00 808210376 1 23:00:00 23:00:49 00:17:47 4618.0 21319 434 1 1 NA
2018-12-14 auto 11:00 808210372 2 11:00:00 11:00:46 12:11:44 4258.0 21000 459 1 1 NA
2018-12-14 auto 23:00 808210375 7 23:00:00 23:00:49 00:42:08 6079.0 27580 158 1 1 NA
2018-12-15 auto 11:00 808210542 8 NA NA NA NA NA NA 0 0 2
2018-12-15 auto 11:00 808210511 9 11:00:00 11:01:20 12:45:46 6266.0 29298 120 1 1 NA
2018-12-15 auto 23:00 808210509 10 23:00:00 23:00:44 00:45:06 6262.0 27645 156 1 1 NA
2018-12-16 auto 11:00 808210505 11 11:00:00 11:00:51 12:52:18 6687.0 29125 122 1 1 NA
2018-12-16 auto 23:00 808210504 12 23:00:00 23:01:03 00:41:22 6019.0 27039 169 1 1 NA
2018-12-17 auto 11:00 807214165 1 11:00:00 11:00:44 12:52:16 6692.0 30003 106 1 1 NA
2018-12-17 auto 23:00 807214167 2 23:00:00 23:01:06 00:43:27 6141.0 27066 167 1 1 NA
2018-12-18 auto 11:00 807214171 3 11:00:00 11:00:50 12:44:15 6205.0 28090 141 1 1 NA
2018-12-18 auto 23:00 808210542 8 23:00:00 23:00:57 23:59:41 3524.0 18062 735 1 1 NA
2018-12-19 auto 11:00 807214168 4 11:00:00 11:01:40 12:45:05 6205.0 29512 110 1 1 NA
2018-12-19 auto 23:00 807214170 5 23:00:00 23:00:57 00:30:06 5349.0 26310 186 1 1 NA
2018-12-20 auto 11:00 807214172 6 11:00:00 11:00:59 12:41:21 6022.0 26393 184 1 1 NA
2018-12-20 auto 23:00 808210380 1 23:00:00 23:00:57 23:02:00 63.0 542 9656 1 1 NA
2018-12-21 auto 11:00 807214160 2 11:00:00 11:00:42 12:26:55 5173.0 27470 151 1 1 NA
2018-12-21 auto 23:00 807214154 3 23:00:00 23:00:50 00:15:47 4497.0 21871 386 1 1 NA
2018-12-22 auto 11:00 808210286 7 11:00:00 11:00:47 13:01:26 7239.0 30286 95 1 1 NA
2018-12-22 auto 23:00 807214164 9 23:00:00 23:00:49 00:41:07 6018.0 26941 167 1 1 NA
2018-12-23 auto 11:00 807214159 10 11:00:00 11:00:49 12:50:15 6566.0 28856 123 1 1 NA
2018-12-23 auto 23:00 807214163 11 23:00:00 23:01:44 23:58:25 3401.0 17430 820 1 1 NA
2018-12-24 auto 11:00 807214157 12 11:00:00 11:00:40 12:39:01 5901.0 26130 193 1 1 NA
2018-12-24 auto 23:00 808210514 1 23:00:00 23:00:56 00:33:08 5532.0 27389 157 1 1 NA
2018-12-25 auto 11:00 808210507 2 11:00:00 11:00:42 12:25:52 5110.0 25141 228 1 1 NA
2018-12-25 auto 23:00 808210546 3 23:00:00 23:01:09 00:43:29 6140.0 26492 184 1 1 NA
2018-12-26 auto 11:00 808210458 4 11:00:00 11:00:45 12:32:00 5475.0 28542 133 1 1 NA
2018-12-26 auto 23:00 808210556 5 23:00:00 23:00:50 23:43:20 2550.0 12857 1740 1 1 NA
2018-12-27 auto 11:00 808210374 6 11:00:00 11:00:54 12:41:16 6022.0 27261 164 1 1 NA
2018-12-27 auto 23:00 808210519 7 23:00:00 23:01:03 00:36:18 5715.0 27063 170 1 1 NA
2018-12-28 auto 11:00 808210481 8 11:00:00 11:00:44 12:40:06 5962.0 28893 128 1 1 NA
2018-12-28 auto 23:00 808210508 9 23:00:00 23:00:53 00:24:58 5045.0 26471 189 1 1 NA
2018-12-29 auto 11:00 808210506 10 11:00:00 11:00:58 12:36:17 5719.0 28110 145 1 1 NA
2018-12-29 auto 23:00 808210368 11 23:00:00 23:00:48 00:35:02 5654.0 27863 150 1 1 NA
2018-12-30 auto 11:00 808210379 12 11:00:00 11:00:47 12:40:05 5958.0 26047 201 1 1 NA
2018-12-30 auto 23:00 808210358 1 23:00:00 23:00:51 00:33:06 5535.0 27231 167 1 1 NA
2018-12-31 auto 11:00 808210516 2 11:00:00 11:01:01 12:36:19 5718.0 27115 169 1 1 NA
2018-12-31 auto 23:00 808210370 3 23:00:00 23:00:48 00:50:14 6566.0 28574 133 1 1 NA
2019-01-01 auto 11:00 808210365 4 11:00:00 11:00:43 12:43:07 6144.0 30514 99 1 1 NA
2019-01-01 auto 23:00 808210517 5 23:00:00 23:00:48 00:24:53 5045.0 26481 187 1 1 NA
2019-01-02 auto 11:00 808210360 6 11:00:00 11:00:54 12:35:11 5657.0 28746 131 1 1 NA
2019-01-02 auto 23:00 808210223 1 23:00:00 23:00:46 00:47:10 6384.0 28233 140 1 1 NA
2019-01-03 auto 11:00 808210378 2 11:00:00 11:00:43 12:56:18 6935.0 29682 111 1 1 NA
2019-01-03 auto 23:00 808210366 3 23:00:00 23:00:48 00:56:19 6931.0 27403 158 1 1 NA
2019-01-04 auto 11:00 807214166 4 11:00:00 11:00:53 12:33:09 5536.0 25397 217 1 1 NA
2019-01-04 auto 23:00 807214155 5 23:00:00 23:00:49 00:36:03 5714.0 26601 177 1 1 NA
2019-01-05 auto 11:00 808210183 7 11:00:00 11:00:54 12:32:09 5475.0 26084 196 1 1 NA
2019-01-05 auto 23:00 807214169 8 23:00:00 23:00:46 00:50:12 6566.0 27241 158 1 1 NA
2019-01-06 auto 11:00 807214162 9 11:00:00 11:01:11 12:34:23 5592.0 28064 140 1 1 NA
2019-01-06 auto 23:00 807214158 10 23:00:00 23:00:48 00:52:16 6688.0 27034 166 1 1 NA
2019-01-07 auto 11:00 808210293 11 11:00:00 11:00:43 12:35:01 5658.0 25570 212 1 1 NA
2019-01-07 auto 23:00 808210288 12 23:00:00 23:00:56 00:49:21 6505.0 27192 162 1 1 NA
2019-01-08 auto 11:00 808210265 1 11:00:00 11:00:59 12:34:15 5596.0 27903 144 1 1 NA
2019-01-08 auto 23:00 808210448 2 23:00:00 23:00:47 00:38:03 5836.0 24762 240 1 1 NA
2019-01-09 auto 11:00 808210271 3 11:00:00 11:00:42 12:48:10 6448.0 28817 124 1 1 NA
2019-01-09 auto 23:00 808210268 4 23:00:00 23:00:50 00:49:14 6504.0 27089 163 1 1 NA
2019-01-10 auto 11:00 808210291 6 11:00:00 11:00:53 12:38:13 5840.0 29097 118 1 1 NA
2019-01-10 auto 23:00 808210272 5 23:00:00 23:00:47 00:44:08 6201.0 27233 159 1 1 NA
2019-01-11 auto 11:00 808210273 7 11:00:01 11:00:53 12:54:26 6813.0 29471 111 1 1 NA
2019-01-11 auto 23:00 808210281 8 NA NA NA NA NA NA 0 0 NA
2019-01-12 auto 23:00 808210281 8 23:00:00 23:00:57 00:11:55 4258.0 19625 556 1 1 NA
2019-01-13 auto 11:00 808210262 9 11:00:00 11:01:01 12:27:09 5168.0 27573 150 1 1 NA
2019-01-13 auto 23:00 808210274 10 23:00:00 23:01:36 00:19:36 4680.0 23338 301 1 1 NA
2019-01-14 auto 11:00 808210277 11 11:00:00 11:00:55 12:58:33 7058.0 28991 120 1 1 NA
2019-01-14 auto 23:00 808210267 1 23:00:00 23:00:46 NA NA NA NA 1 0 12
2019-01-14 auto 23:00 808210270 2 23:18:31 23:19:12 NA NA NA NA 1 0 12
2019-01-15 trig NA 808210282 3 NA NA NA NA NA NA 0 0 25
2019-01-15 auto 11:00 808210282 3 11:05:34 11:06:33 12:34:46 5293.0 27688 148 1 1 NA
2019-01-15 auto 23:00 808210263 4 23:00:00 23:00:39 00:30:53 5414.0 27564 151 1 1 NA
2019-01-16 auto 11:00 808210269 5 11:00:00 11:01:05 12:43:32 6147.0 28589 128 1 1 NA
2019-01-16 auto 23:00 808210278 6 23:00:00 23:00:50 00:37:04 5774.0 27776 145 1 1 NA
2019-01-17 auto 11:00 810210287 7 11:00:00 11:00:41 12:49:10 6509.0 29509 110 1 1 NA
2019-01-17 auto 23:00 808210275 12 23:00:00 23:00:47 00:14:47 4440.0 20838 449 1 1 NA
2019-01-18 auto 11:00 810210304 1 11:00:00 11:00:49 12:51:20 6631.0 29179 117 1 1 NA
2019-01-18 auto 23:00 810210300 2 23:00:00 23:00:59 00:26:04 5105.0 25300 217 1 1 NA
2019-01-19 auto 11:00 810210294 3 11:00:00 11:00:49 12:20:55 4806.0 23309 302 1 1 NA
2019-01-19 auto 23:00 810210299 4 23:00:00 23:00:48 00:46:10 6322.0 27151 162 1 1 NA
2019-01-20 auto 11:00 810210292 5 11:00:00 11:01:08 12:25:13 5045.0 21262 424 1 1 NA
2019-01-20 auto 23:00 810210296 8 23:00:00 23:00:48 00:43:08 6140.0 27626 151 1 1 NA
2019-01-21 auto 11:00 810210302 9 11:00:00 11:00:47 12:31:01 5414.0 26839 172 1 1 NA
2019-01-21 auto 23:00 808210737 1 23:00:00 23:00:45 00:30:58 5413.0 27599 151 1 1 NA
2019-01-22 auto 11:00 808210742 6 11:00:00 11:00:47 12:33:03 5536.0 28197 138 1 1 NA
2019-01-22 auto 23:00 810210301 7 23:00:00 23:00:53 00:44:14 6201.0 28696 128 1 1 NA
2019-01-23 auto 11:00 810210311 10 11:00:00 11:00:46 12:17:49 4623.0 19670 544 1 1 NA
2019-01-23 auto 23:00 808210752 11 23:00:00 23:00:49 00:28:58 5289.0 24076 267 1 1 NA
2019-01-24 auto 11:00 808210753 12 11:00:00 11:01:12 13:02:52 7300.0 30390 100 1 1 NA
2019-01-24 auto 23:00 808210735 2 23:00:00 23:01:00 00:46:23 6323.0 29122 120 1 1 NA
2019-01-25 auto 11:00 808210747 3 11:00:00 11:00:46 12:49:15 6509.0 28825 126 1 1 NA
