"Data"	"Sessio"	"Realitzat"	"Hora"	"Durada"	"Altitud"	"Pressio"	"Rellancaments"	"Fallida"	"Sondes"
2012-12-01	"mati"	"Si"	"12:21:53"	81	26926	18.1	0	"Correcte"	1
2012-12-01	"nit"	"Si"	"00:31:21"	90	27011	17.5	0	"Correcte"	1
2012-12-02	"mati"	"Si"	"12:25:14"	84	27575	16.2	0	"Correcte"	1
2012-12-02	"nit"	"Si"	"00:22:10"	81	26408	19.3	0	"Correcte"	1
2012-12-03	"mati"	"Si"	"12:33:24"	92	27857	15.4	0	"Correcte"	1
2012-12-03	"nit"	"Si"	"00:27:00"	86	25691	21.6	0	"Correcte"	1
2012-12-04	"mati"	"Si"	"12:22:11"	81	12979	NA	0	"Correcte"	1
2012-12-04	"nit"	"Si"	"00:23:14"	82	27107	17.1	0	"Correcte"	1
2012-12-05	"mati"	"Si"	"12:28:49"	87	27427	16.4	0	"Correcte"	1
2012-12-05	"nit"	"Si"	"00:38:16"	97	27091	17.3	0	"Correcte"	1
2012-12-06	"mati"	"No"	NA	NA	NA	NA	NA	"NA "	NA
2012-12-06	"nit"	"Si"	"00:38:07"	97	26675	18.5	0	"Correcte"	1
2012-12-07	"mati"	"Si"	"12:41:21"	100	26786	18.2	0	"Correcte"	1
2012-12-07	"nit"	"Si"	"00:25:25"	84	26729	18.3	0	"Correcte"	1
2012-12-08	"mati"	"Si"	"12:32:17"	91	25426	22.6	0	"Correcte"	1
2012-12-08	"nit"	"Si"	"00:32:03"	91	27864	15.1	0	"Correcte"	1
2012-12-09	"mati"	"Si"	"12:29:00"	88	27193	16.8	0	"Correcte"	1
2012-12-09	"nit"	"Si"	"00:28:00"	87	26355	19	0	"Correcte"	1
2012-12-10	"mati"	"Si"	"12:29:11"	88	27196	16.5	0	"Correcte"	1
2012-12-10	"nit"	"Si"	"00:36:06"	95	27257	16.2	0	"Correcte"	1
2012-12-11	"mati"	"Si"	"12:43:17"	102	28719	13	0	"Correcte"	1
2012-12-11	"nit"	"Si"	"00:28:00"	87	24130	27.1	0	"Correcte"	1
2012-12-12	"mati"	"Si"	"12:31:22"	90	26498	18.6	0	"Correcte"	1
2012-12-12	"nit"	"Si"	"00:18:50"	78	23333	30.6	0	"Correcte"	1
2012-12-13	"mati"	"Si"	"12:34:21"	93	27464	15.9	0	"Correcte"	1
2012-12-13	"nit"	"Si"	"00:31:01"	90	27457	15.9	0	"Correcte"	1
2012-12-14	"mati"	"Si"	"12:28:59"	88	28107	14.5	0	"Correcte"	1
2012-12-14	"nit"	"Si"	"00:02:07"	60	18124	72	0	"Correcte"	1
2012-12-15	"mati"	"Si"	"12:39:09"	98	28161	14.3	0	"Correcte"	1
2012-12-15	"nit"	"Si"	"00:13:46"	73	20369	50.3	0	"Correcte"	1
2012-12-16	"mati"	"Si"	"12:49:28"	108	27891	14.9	0	"Correcte"	1
2012-12-16	"nit"	"Si"	"00:22:55"	82	25630	21.2	0	"Correcte"	1
