"Data"	"Hora"	"Error"
2013-01-25	"23:20:29"	"End before 300 hPa 5250m 520.8hPa"
2013-02-04	"11:17:00"	"End before 300 hPa 4652m 575.2hPa"
2013-02-15	"11:14:59"	"End before 300 hPa 3626m 650.3hPa"
2013-03-05	"11:07:37"	"No ICAR response"
2013-03-05	"11:21:19"	"No ICAR response"
2013-03-05	"23:29:42"	"End before 300 hPa 4024m 606.1hPa"
2013-03-09	"23:25:11"	"End before 300 hPa 2181m 771.8hPa"
2013-03-13	"11:06:11"	"End before 300 hPa 326m 958.9hPa"
2013-03-13	"11:25:33"	"End before 300 hPa 252m 968.4hPa"
2013-04-25	"23:14:59"	"End before 300 hPa 1120m 891.1hPa"
2013-04-25	"23:53:55"	"End before 300 hPa 6083m 473.9hPa"
2013-04-29	"11:25:26"	"Temperature faillure 6363m 481.7hPa"
2013-05-22	"11:05:29"	"Analysis aborted (< 2 points) 1532m 844.2hPa"
2013-06-12	"23:04:06"	"End before 300 hPa 136m 1004.1hPa"
2013-06-14	"23:21:20"	"End before 300 hPa 5169m 546.8hPa"
2013-07-21	"11:07:52"	"End before 300 hPa 1428m 863.2hPa"
2013-08-03	"23:26:08"	"Temperature faillure 8083m 330.8hPa"
2013-08-11	"11:05:48"	"End before 300 hPa 658m 945.1hPa"
2013-08-19	"11:02:32"	"End before 300 hPa 78m 1009.7hPa"
2013-08-25	"23:24:04"	"Temperature faillure 7780m 332.8hPa"
2013-09-10	"11:27:08"	"Temperature faillure 7942m 327.3hPa"
2013-11-16	"11:20:04"	"End before 300 hPa 1792m 817.8hPa"
2013-11-22	"11:05:06"	"Analysis aborted (< 2 points) 1522m 701.3hPa"
2014-02-04	"23:38:20"	"End before 300 hPa 8388m 336.1hPa"
2014-03-02	"11:52:28"	"End before 300 hPa 6668m 426.6hPa"
2014-03-22	"23:04:50"	"Analysis aborted (< 2 points) 1503m 717.9hPa"
2014-03-30	"23:07:50"	"Temperature faillure 2355m 788.3hPa"
2014-04-03	"11:25:02"	"End before 300 hPa 4430m 574.7hPa"
2014-04-03	"11:57:18"	"End before 300 hPa 4383m 577.5hPa"
2014-04-04	"11:27:43"	"End before 300 hPa 5484m 505.9hPa"
2014-04-29	"11:04:47"	"Analysis aborted (< 2 points) 1536m 844.4hPa"
2014-05-04	"11:03:45"	"Analysis aborted (< 2 points) 1459m 852.2hPa"
2014-05-29	"11:03:59"	"Analysis aborted (< 2 points) 1313m 747.8hPa"
2014-06-01	"23:04:47"	"Analysis aborted (< 2 points) 1405m 862.3hPa"
2014-06-05	"23:32:13"	"End before 300 hPa 3619m 658.9hPa"
2014-06-16	"12:01:51"	"End before 300 hPa 7171m 409.4hPa"
2014-06-24	"23:39:19"	"End before 300 hPa 3421m 671.0hPa"
2014-07-04	"00:04:36"	"End before 300 hPa 8538m 346.5hPa"
2014-07-06	"11:56:31"	"End before 300 hPa 7239m 412.3hPa"
2014-07-06	"23:28:09"	"End before 300 hPa 1347m 867.2hPa"
2014-07-09	"23:02:44"	"End before 300 hPa 76m 1008.2hPa"
2014-07-16	"23:35:15"	"End before 300 hPa 2988m 720.5hPa"
2014-07-18	"11:34:46"	"End before 300 hPa 5914m 496.6hPa"
2014-07-18	"11:34:46"	"End before 300 hPa 5914m 496.6hPa"
2014-07-23	"23:22:27"	"End before 300 hPa 107m 999.8hPa"
2014-07-24	"11:19:36"	"End before 300 hPa 2602m 747.1hPa"
2014-07-24	"11:43:18"	"End before 300 hPa 1460m 855.1hPa"
2014-07-28	"11:20:00"	"Temperature faillure 5512m 543.5hPa"
2014-07-29	"11:40:28"	"End before 300 hPa 6210m 466.1hPa"
2014-10-15	"11:25:05"	"End before 300 hPa 2788m 724.9hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-11-03	"23:32:42"	"End before 300 hPa 4058m 610.1hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-11-03	"23:32:42"	"End before 300 hPa 4058m 610.1hPa"
2014-10-31	"11:43:23"	"End before 300 hPa 4623m 583.6hPa"
2014-10-31	"23:45:06"	"End before 300 hPa 3819m 646.0hPa"
2014-11-01	"23:29:10"	"End before 300 hPa 2633m 747.1hPa"
2014-11-03	"23:32:42"	"End before 300 hPa 4058m 610.1hPa"
2014-11-26	"11:42:36"	"End before 300 hPa 4866m 552.5hPa"
2014-12-05	"11:17:00"	"End before 300 hPa 1815m 813.4hPa"
2014-12-05	"11:54:59"	"End before 300 hPa 6216m 453.1hPa"
2014-12-05	"23:31:22"	"End before 300 hPa 9363m 284.5hPa"
2014-12-05	"00:05:10"	"End before 300 hPa 4513m 573.0hPa"
2014-12-06	"23:15:57"	"End before 300 hPa 1604m 835.9hPa"
2014-12-06	"23:36:56"	"End before 300 hPa 490m 960.4hPa"
2014-12-06	"23:15:57"	"End before 300 hPa 1604m 835.9hPa"
2014-12-06	"23:36:56"	"End before 300 hPa 490m 960.4hPa"
2014-12-10	"11:33:29"	"End before 300 hPa 3203m 693.4hPa"
2014-12-13	"11:52:28"	"End before 300 hPa 4991m 546.0hPa"
2014-12-14	"23:30:36"	"End before 300 hPa 2074m 789.3hPa"
2014-12-15	"11:23:16"	"End before 300 hPa 657m 941.1hPa"
2014-12-27	"23:16:27"	"End before 300 hPa 2473m 745.0hPa"
2015-01-05	"23:20:42"	"End before 300 hPa 1112m 898.1hPa"
2015-01-31	"11:58:36"	"End before 300 hPa 5926m 456.6hPa"
