"data"	"fitxer"	"sessió"	"id_sond"	"realit"	"hora"	"dur.min."	"alti.m."	"press.hPa."	"rellanç"	"llanç.fall"	"activ"	"sond_voladores"	"errors"	"valv.fall"
"2019-03-24"	"19032600.log"	"23:00"	"810210089 "	1	"00:50:56"	"100.3"	"27943"	15.6	2	2	3	1	NA	NA
"2019-03-24"	"19032600.log"	"11:00"	" 810210103"	1	"12:44:12"	"103.4"	"28053"	15.4	0	0	1	1	NA	NA
"2019-03-24"	"19032600.log"	"23:00"	" 205212114"	0	NA	NA	NA	NA	NA	2	3	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B11"
"2019-03-24"	"19032600.log"	"23:00"	" 810210097"	0	NA	NA	NA	NA	NA	2	3	1	"Sonde ascent not detected                                          "	"B12"
"2019-03-24"	"19032600.log"	"23:00"	"810210089 "	1	"00:50:56"	"100.3"	"27943"	15.6	2	2	3	1	NA	NA
"2019-03-24"	"19032600.log"	"11:00"	" 810210103"	1	"12:44:12"	"103.4"	"28053"	15.4	0	0	1	1	NA	NA
"2019-03-24"	"19032600.log"	"23:00"	" 205212114"	0	NA	NA	NA	NA	NA	2	3	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B11"
"2019-03-24"	"19032600.log"	"23:00"	" 810210097"	0	NA	NA	NA	NA	NA	2	3	1	"Sonde ascent not detected                                          "	"B12"
"2019-03-24"	"19032600.log"	"23:00"	"810210089 "	1	"00:50:56"	"100.3"	"27943"	15.6	2	2	3	1	NA	NA
"2019-03--1"	"19030100.log"	"11:00"	"804213096 "	1	"12:47:12"	"106.4"	"30202"	10.4	0	0	1	1	NA	NA
"2019-03--1"	"19030100.log"	"23:00"	"707210337 "	1	"00:53:11"	"112.5"	"31064"	9	0	0	1	1	NA	NA
"2019-03-0"	"19030200.log"	"11:00"	"710210786 "	1	"12:46:05"	"105.4"	"30385"	10.2	0	0	1	1	NA	NA
"2019-03-0"	"19030200.log"	"23:00"	" 809213627"	1	"00:39:03"	"98.35"	"28490"	13.7	0	0	1	1	NA	NA
"2019-03-1"	"19030300.log"	"11:00"	" 112211226"	1	"12:57:21"	"116.6"	"30154"	10.7	0	0	1	1	NA	NA
"2019-03-1"	"19030300.log"	"23:00"	" 205211900"	1	"00:53:14"	"112.5"	"29171"	12.4	0	0	1	1	NA	NA
"2019-03-2"	"19030400.log"	"11:00"	"710211298 "	0	NA	NA	NA	NA	NA	2	3	1	"No balloon at 151 liters                                            , Balloon error. Waiting 10 s                                         , Valve ejected, sonde switched                                      "	"B1 "
"2019-03-2"	"19030400.log"	"11:00"	"205212114 "	0	NA	NA	NA	NA	NA	2	3	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B2 "
"2019-03-2"	"19030400.log"	"11:00"	"810210156 "	1	"12:42:00"	"100.3"	"29784"	11.3	2	2	3	1	NA	NA
"2019-03-3"	"19030500.log"	"11:00"	"810210154 "	1	"12:51:15"	"110.5"	"30648"	10	0	0	1	1	NA	NA
"2019-03-3"	"19030500.log"	"23:00"	"810210113 "	1	"00:49:12"	"108.4"	"28406"	14.1	0	0	1	1	NA	NA
"2019-03-4"	"19030600.log"	"11:00"	"810210131 "	1	"12:54:22"	"113.6"	"29154"	12.6	0	0	1	1	NA	NA
"2019-03-4"	"19030600.log"	"23:00"	"810210118 "	1	"00:23:55"	"83.15"	"24122"	27.4	0	0	1	1	NA	NA
"2019-03-5"	"19030700.log"	"11:00"	"810210141 "	1	"12:49:13"	"108.4"	"30840"	9.8	0	0	1	1	NA	NA
"2019-03-5"	"19030700.log"	"23:00"	" 810210128"	1	"00:41:06"	"100.3"	"28438"	14	0	0	1	1	NA	NA
"2019-03-6"	"19030800.log"	"11:00"	" 810210116"	1	"13:08:36"	"127.7"	"31608"	8.8	0	0	1	1	NA	NA
"2019-03-6"	"19030800.log"	"23:00"	"710211298 "	1	"23:54:42"	"53.73"	"15291"	113	0	0	1	1	NA	NA
"2019-03-7"	"19030900.log"	"11:00"	"205212114 "	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B2 "
"2019-03-7"	"19030900.log"	"11:00"	"810210140 "	1	"12:54:23"	"113.5"	"29521"	12	1	1	2	1	NA	NA
"2019-03-7"	"19030900.log"	"23:00"	"810210152 "	1	"00:49:23"	"108.5"	"29980"	11.3	0	0	1	1	NA	NA
"2019-03-8"	"19031000.log"	"11:00"	"810210139 "	1	"12:52:14"	"111.5"	"29943"	11.5	0	0	1	1	NA	NA
"2019-03-8"	"19031000.log"	"23:00"	"810210114 "	0	NA	NA	NA	NA	NA	1	2	2	"IR2010 --> SONDAGE KO. CAUSE=Temperature faillure 8914m 318.3hPa 4."	"B6 "
"2019-03-8"	"19031000.log"	"23:00"	"810210155 "	1	"01:35:01"	"112.5"	"30280"	10.9	1	1	2	2	NA	NA
"2019-03-9"	"19031100.log"	"11:00"	" 804212785"	1	"12:40:21"	"99.36"	"29383"	12.7	0	0	1	1	NA	NA
"2019-03-9"	"19031100.log"	"23:00"	"205212114 "	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B1 "
"2019-03-9"	"19031100.log"	"23:00"	"810210065 "	1	"00:46:09"	"105.4"	"30025"	11.5	1	1	2	1	NA	NA
"2019-03-10"	"19031200.log"	"11:00"	"810210066 "	1	"12:38:02"	"97.31"	"30384"	10.9	0	0	1	1	NA	NA
"2019-03-10"	"19031200.log"	"23:00"	"810210063 "	1	"00:47:11"	"106.4"	"30717"	10.4	0	0	1	1	NA	NA
"2019-03-11"	"19031300.log"	"11:00"	" 810210057"	1	"12:53:17"	"112.5"	"31417"	9.5	0	0	1	1	NA	NA
"2019-03-11"	"19031300.log"	"23:00"	" 810210064"	1	"00:59:21"	"118.6"	"30459"	10.9	0	0	1	1	NA	NA
"2019-03-12"	"19031400.log"	"11:00"	"810210062 "	1	"12:55:14"	"114.5"	"30211"	11.4	0	0	1	1	NA	NA
"2019-03-12"	"19031400.log"	"23:00"	"810210034 "	1	"00:45:09"	"104.4"	"29709"	12.2	0	0	1	1	NA	NA
"2019-03-13"	"19031500.log"	"11:00"	"810210120 "	1	"12:42:17"	"101.3"	"29513"	12.7	0	0	1	1	NA	NA
"2019-03-13"	"19031500.log"	"23:00"	"810210069 "	1	"00:50:15"	"109.5"	"27577"	16.6	0	0	1	1	NA	NA
"2019-03-14"	"19031600.log"	"11:00"	"205212114 "	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B2 "
"2019-03-14"	"19031600.log"	"11:00"	" 810210058"	1	"12:50:12"	"109.5"	"30692"	10.4	1	1	2	1	NA	NA
"2019-03-14"	"19031600.log"	"23:00"	"810210074 "	1	"00:46:48"	"105.4"	"30054"	11.4	0	0	1	1	NA	NA
"2019-03-15"	"19031700.log"	"11:00"	"804212879 "	1	"12:36:07"	"95.31"	"29643"	12.1	0	0	1	1	NA	NA
"2019-03-15"	"19031700.log"	"23:00"	"804212877 "	1	"00:35:00"	"94.28"	"28664"	13.9	0	0	1	1	NA	NA
"2019-03-16"	"19031800.log"	"11:00"	"810210017 "	1	"12:44:12"	"103.4"	"29789"	11.7	0	0	1	1	NA	NA
"2019-03-16"	"19031800.log"	"23:00"	" 810210060"	1	"00:56:16"	"115.5"	"30848"	10	0	0	1	1	NA	NA
"2019-03-17"	"19031900.log"	"11:00"	"804212790 "	0	NA	NA	NA	NA	NA	1	2	2	"IR2010 --> SONDAGE KO. CAUSE=Analysis aborted (< 2 points) 233m 973"	"B7 "
"2019-03-17"	"19031900.log"	"11:00"	"810210031 "	1	"12:55:35"	"102.4"	"29908"	11.6	1	1	2	2	NA	NA
"2019-03-17"	"19031900.log"	"23:00"	"810210035 "	1	"00:26:56"	"86.21"	"24089"	28.1	0	0	1	1	NA	NA
"2019-03-20"	"19032200.log"	"11:00"	"205212114 "	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B2 "
"2019-03-20"	"19032200.log"	"11:00"	"810210126 "	1	"12:53:15"	"112.5"	"29379"	12.5	1	1	2	1	NA	NA
"2019-03-20"	"19032200.log"	"23:00"	" 810210061"	1	"00:31:57"	"91.24"	"26042"	20.9	0	0	1	1	NA	NA
"2019-03-21"	"19032300.log"	"11:00"	" 810210117"	1	"12:53:40"	"112.5"	"30742"	10.3	0	0	1	1	NA	NA
